county;state;fips;population;density
Socorro;New Mexico;35053;16735;256
Taos;New Mexico;35055;32835;1493
Albany;New York;36001;307117;58803
Allegany;New York;36003;46430;4569
Broome;New York;36007;191659;27545
Cayuga;New York;36011;77145;11259
Chenango;New York;36017;47536;5411
Clinton;New York;36019;80695;7785
Columbia;New York;36021;59916;9598
Cortland;New York;36023;47823;9649
Delaware;New York;36025;44527;3155
Dutchess;New York;36027;293718;36939
Erie;New York;36029;919719;8822
Essex;New York;36031;37300;2104
Fulton;New York;36035;53591;10847
Genesee;New York;36037;57511;11789
Greene;New York;36039;47491;7358
Hamilton;New York;36041;4434;266
Herkimer;New York;36043;61833;4428
Jefferson;New York;36045;111755;9022
Livingston;New York;36051;63227;10116
Madison;New York;36053;70795;10897
Monroe;New York;36055;742474;113244
Montgomery;New York;36057;49455;12263
Nassau;New York;36059;1358343;476462
Niagara;New York;36063;210433;40528
Oneida;New York;36065;229577;19035
Onondaga;New York;36067;461809;59641
Ontario;New York;36069;109864;16997
Orange;New York;36071;381951;46598
Oswego;New York;36075;117898;12516
Otsego;New York;36077;59749;6014
Putnam;New York;36079;98892;43016
Rensselaer;New York;36083;159442;24436
Rockland;New York;36087;325695;186509
St. Lawrence;New York;36089;108047;4087
Saratoga;New York;36091;230163;28072
Schenectady;New York;36093;155350;75732
Schoharie;New York;36095;31097;5044
Steuben;New York;36101;95796;697
Suffolk;New York;36103;1481093;163138
Sullivan;New York;36105;75498;7769
Tioga;New York;36107;48560;9457
Tompkins;New York;36109;102793;21692
Ulster;New York;36111;178599;15949
Warren;New York;36113;64265;7438
Washington;New York;36115;61197;7439
Wayne;New York;36117;90064;15047
Westchester;New York;36119;967612;225046
Wyoming;New York;36121;40085;6844
Alamance;North Carolina;37001;166436;37877
Brunswick;North Carolina;37019;136744;14978
Buncombe;North Carolina;37021;259103;38752
Cabarrus;North Carolina;37025;211342;55687
Carteret;North Carolina;37031;69524;13614
Catawba;North Carolina;37035;158652;39308
Chatham;North Carolina;37037;73139;10231
Cherokee;North Carolina;37039;28383;6075
Craven;North Carolina;37049;102912;1454
Cumberland;North Carolina;37051;332330;50912
Davidson;North Carolina;37057;166614;29794
Davie;North Carolina;37059;42733;15899
Durham;North Carolina;37063;316739;107162
Forsyth;North Carolina;37067;379099;91039
Franklin;North Carolina;37069;67560;132
Gaston;North Carolina;37071;222846;60834
Granville;North Carolina;37077;60115;11076
Guilford;North Carolina;37081;533670;81087
Harnett;North Carolina;37085;134214;2191
Henderson;North Carolina;37089;116748;30457
Hoke;North Carolina;37093;54764;13625
Iredell;North Carolina;37097;178435;30065
Johnston;North Carolina;37101;202675;24159
Lee;North Carolina;37105;61452;23582
Lincoln;North Carolina;37109;83770;27335
Mecklenburg;North Carolina;37119;1093901;201265
Moore;North Carolina;37125;98682;13704
Nash;North Carolina;37127;94016;17395
New Hanover;North Carolina;37129;232274;117071
Onslow;North Carolina;37133;197683;25423
Orange;North Carolina;37135;146027;35918
Pasquotank;North Carolina;37139;39639;17401
Pitt;North Carolina;37147;179914;27205
Robeson;North Carolina;37155;131831;14058
Rowan;North Carolina;37159;141262;273
Sampson;North Carolina;37163;63626;6728
Scotland;North Carolina;37165;34810;11059
Stanly;North Carolina;37167;62075;15469
Union;North Carolina;37179;235908;35897
Vance;North Carolina;37181;44582;17546
Wake;North Carolina;37183;1092305;125303
Watauga;North Carolina;37189;55945;17314
Wayne;North Carolina;37191;123248;2242
Wilson;North Carolina;37195;81455;22092
Burleigh;North Dakota;38015;95273;5741
Cass;North Dakota;38017;181516;987
Morton;North Dakota;38059;31095;1586
Pierce;North Dakota;38069;4081;413
Ramsey;North Dakota;38071;11481;974
Walsh;North Dakota;38099;10667;843
Ward;North Dakota;38101;67744;3429
Ashland;Ohio;39005;53745;12644
Ashtabula;Ohio;39007;97493;13981
Belmont;Ohio;39013;67505;12868
Butler;Ohio;39017;382378;80995
Carroll;Ohio;39019;27081;6989
Clark;Ohio;39023;134585;34014
Clermont;Ohio;39025;205466;44949
Clinton;Ohio;39027;42057;10251
Columbiana;Ohio;39029;102665;19553
Coshocton;Ohio;39031;36629;6486
Cuyahoga;Ohio;39035;1243857;274236
Darke;Ohio;39037;51323;865
Defiance;Ohio;39039;38165;9303
Delaware;Ohio;39041;204826;44462
Erie;Ohio;39043;74615;29868
Franklin;Ohio;39049;1310300;239639
Gallia;Ohio;39053;29979;6472
Geauga;Ohio;39055;94031;23481
Greene;Ohio;39057;167995;40077
Hamilton;Ohio;39061;816684;200053
Hancock;Ohio;39063;75930;14245
Huron;Ohio;39077;58504;11894
Knox;Ohio;39083;61893;11649
Lake;Ohio;39085;230514;101125
Licking;Ohio;39089;175769;25244
Logan;Ohio;39091;45358;9883
Lorain;Ohio;39093;309461;62454
Lucas;Ohio;39095;429899;126851
Madison;Ohio;39097;44413;9442
Mahoning;Ohio;39099;229642;56135
Marion;Ohio;39101;65256;16184
Medina;Ohio;39103;179146;42068
Miami;Ohio;39109;106222;25776
Montgomery;Ohio;39113;532331;11527
Portage;Ohio;39133;162927;33371
Richland;Ohio;39139;121099;24497
Sandusky;Ohio;39143;58799;14518
Stark;Ohio;39151;371574;64922
Summit;Ohio;39153;541918;131269
Trumbull;Ohio;39155;198627;32637
Tuscarawas;Ohio;39157;92176;163
Union;Ohio;39159;57835;12891
Warren;Ohio;39165;232173;56456
Washington;Ohio;39167;60155;96
Wood;Ohio;39173;130696;21052
Canadian;Oklahoma;40017;144447;15247
Cleveland;Oklahoma;40027;281669;51364
Custer;Oklahoma;40039;29036;2954
Garvin;Oklahoma;40049;27811;3469
Grady;Oklahoma;40051;55551;4973
Jackson;Oklahoma;40065;24949;3163
Kay;Oklahoma;40071;44161;488
Logan;Oklahoma;40083;47291;619
McClain;Oklahoma;40087;39985;677
Muskogee;Oklahoma;40101;68362;8524
Noble;Oklahoma;40103;11289;1559
Oklahoma;Oklahoma;40109;792582;110332
Pawnee;Oklahoma;40117;16390;2892
Payne;Oklahoma;40119;82040;11905
Pontotoc;Oklahoma;40123;38247;5324
Tulsa;Oklahoma;40143;648360;11272
Washington;Oklahoma;40147;51843;12517
Benton;Oregon;41003;92101;13282
Clackamas;Oregon;41005;416075;21696
Deschutes;Oregon;41017;191996;5985
Douglas;Oregon;41019;110283;2151
Grant;Oregon;41023;7176;159
Hood River;Oregon;41027;23428;4432
Jackson;Oregon;41029;219564;7698
Josephine;Oregon;41033;87393;5213
Klamath;Oregon;41035;67653;1116
Lane;Oregon;41039;379611;8102
Linn;Oregon;41043;127335;5365
Marion;Oregon;41047;346868;28381
Multnomah;Oregon;41051;811880;185173
Polk;Oregon;41053;85234;10992
Umatilla;Oregon;41059;77516;2391
Union;Oregon;41061;26461;1278
Washington;Oregon;41067;597695;80336
Yamhill;Oregon;41071;107002;14503
Adams;Pennsylvania;42001;102811;1967
Allegheny;Pennsylvania;42003;1218452;167868
Beaver;Pennsylvania;42007;164742;38392
Berks;Pennsylvania;42011;420152;48644
Bucks;Pennsylvania;42017;628195;103651
Butler;Pennsylvania;42019;187888;23658
Cambria;Pennsylvania;42021;131730;19547
Centre;Pennsylvania;42027;162805;14545
Chester;Pennsylvania;42029;522046;68907
Columbia;Pennsylvania;42037;65456;13707
Cumberland;Pennsylvania;42041;251423;45362
Dauphin;Pennsylvania;42043;277097;52284
Delaware;Pennsylvania;42045;564751;306525
Erie;Pennsylvania;42049;272061;34533
Fayette;Pennsylvania;42051;130441;16738
Franklin;Pennsylvania;42055;154835;1991
Lackawanna;Pennsylvania;42069;210793;46061
Lancaster;Pennsylvania;42071;543557;5704
Lebanon;Pennsylvania;42075;141314;38325
Lehigh;Pennsylvania;42077;368100;105055
Luzerne;Pennsylvania;42079;317646;35704
Mercer;Pennsylvania;42085;110683;16746
Monroe;Pennsylvania;42089;169507;27551
Montgomery;Pennsylvania;42091;828604;170028
Montour;Pennsylvania;42093;18240;14046
Northampton;Pennsylvania;42095;304807;81634
Philadelphia;Pennsylvania;42101;1584138;1174873
Pike;Pennsylvania;42103;55933;10184
Potter;Pennsylvania;42105;16622;1566
Schuylkill;Pennsylvania;42107;142067;18437
Washington;Pennsylvania;42125;207346;24218
Wayne;Pennsylvania;42127;51276;7102
Westmoreland;Pennsylvania;42129;350611;34524
York;Pennsylvania;42133;448273;49107
Abbeville;South Carolina;45001;24541;5027
Aiken;South Carolina;45003;169401;15585
Anderson;South Carolina;45007;200482;27396
Beaufort;South Carolina;45013;188715;31696
Berkeley;South Carolina;45015;221091;19026
Calhoun;South Carolina;45017;14520;386
Charleston;South Carolina;45019;405905;43086
Chester;South Carolina;45023;32251;5567
Clarendon;South Carolina;45027;33700;5605
Colleton;South Carolina;45029;37660;3556
Darlington;South Carolina;45031;66802;11985
Dillon;South Carolina;45033;30599;7625
Dorchester;South Carolina;45035;160647;27122
Edgefield;South Carolina;45037;27052;5349
Fairfield;South Carolina;45039;22402;3309
Florence;South Carolina;45041;138159;17321
Georgetown;South Carolina;45043;62249;7572
Greenville;South Carolina;45045;514213;63481
Greenwood;South Carolina;45047;70741;15452
Horry;South Carolina;45051;344147;28302
Jasper;South Carolina;45053;28971;4257
Kershaw;South Carolina;45055;65592;8858
Lancaster;South Carolina;45057;95380;16306
Lee;South Carolina;45061;17142;4292
Lexington;South Carolina;45063;295032;40966
Marlboro;South Carolina;45069;26398;5656
Newberry;South Carolina;45071;38520;6042
Oconee;South Carolina;45073;78374;12245
Orangeburg;South Carolina;45075;86934;7997
Pickens;South Carolina;45077;124937;24727
Richland;South Carolina;45079;414576;53927
Saluda;South Carolina;45081;20544;4483
Spartanburg;South Carolina;45083;313888;37404
Sumter;South Carolina;45085;106512;16088
York;South Carolina;45091;274118;38002
Beadle;South Dakota;46005;18883;146
Bon Homme;South Dakota;46009;6980;1236
Brown;South Dakota;46013;39316;2267
Charles Mix;South Dakota;46023;9338;851
Codington;South Dakota;46029;28015;4066
Davison;South Dakota;46035;19790;4569
Hughes;South Dakota;46065;17650;2376
Lyman;South Dakota;46085;3821;236
McCook;South Dakota;46087;5546;96
Minnehaha;South Dakota;46099;192876;23137
Pennington;South Dakota;46103;111729;3936
Anderson;Tennessee;47001;76482;22474
Blount;Tennessee;47009;131349;22989
Bradley;Tennessee;47011;106727;31803
Campbell;Tennessee;47013;39583;8265
Carroll;Tennessee;47017;28020;4675
Cheatham;Tennessee;47021;40439;13202
Chester;Tennessee;47023;17276;6002
Cocke;Tennessee;47029;35774;8131
Cumberland;Tennessee;47035;59673;861
Davidson;Tennessee;47037;692587;135709
Dickson;Tennessee;47043;53446;10612
Dyer;Tennessee;47045;37320;7334
Fayette;Tennessee;47047;40507;5632
Franklin;Tennessee;47051;41890;7486
Gibson;Tennessee;47053;49045;8159
Greene;Tennessee;47059;69087;11037
Hamblen;Tennessee;47063;64569;39546
Hamilton;Tennessee;47065;364286;65915
Houston;Tennessee;47083;8263;4082
Jefferson;Tennessee;47089;54012;19428
Knox;Tennessee;47093;465289;89762
Loudon;Tennessee;47105;53054;22516
McMinn;Tennessee;47107;53285;12269
Marion;Tennessee;47115;28575;5704
Maury;Tennessee;47119;94340;14642
Monroe;Tennessee;47123;46357;7218
Montgomery;Tennessee;47125;205950;36423
Perry;Tennessee;47135;8064;1908
Putnam;Tennessee;47141;78843;19057
Roane;Tennessee;47145;53140;14665
Robertson;Tennessee;47147;71012;14559
Rutherford;Tennessee;47149;324890;49588
Scott;Tennessee;47151;22039;4124
Sevier;Tennessee;47155;97892;16251
Shelby;Tennessee;47157;935764;122777
Sullivan;Tennessee;47163;157668;37917
Sumner;Tennessee;47165;187149;33898
Tipton;Tennessee;47167;61581;13405
Washington;Tennessee;47179;128607;38918
Williamson;Tennessee;47187;231729;3753
Wilson;Tennessee;47189;140625;23241
Bastrop;Texas;48021;86976;9298
Bell;Texas;48027;355642;32562
Bexar;Texas;48029;1986049;155334
Bowie;Texas;48037;94324;10605
Brazoria;Texas;48039;370200;26073
Brazos;Texas;48041;226758;3744
Brown;Texas;48049;37924;4006
Cameron;Texas;48061;423908;47339
Cass;Texas;48067;30119;3211
Castro;Texas;48069;7665;871
Collin;Texas;48085;1005146;112259
Crane;Texas;48103;4794;616
Dallas;Texas;48113;2637772;296868
Deaf Smith;Texas;48117;18760;1263
Denton;Texas;48121;859064;91874
DeWitt;Texas;48123;20187;2248
Ellis;Texas;48139;179436;18048
El Paso;Texas;48141;840758;82715
Fannin;Texas;48147;35286;3836
Fort Bend;Texas;48157;787858;85822
Galveston;Texas;48167;337890;8645
Gregg;Texas;48183;123707;45186
Harris;Texas;48201;4698619;270184
Hays;Texas;48209;222631;30112
Hockley;Texas;48219;22980;255
Johnson;Texas;48251;171361;22558
Lavaca;Texas;48285;20110;2056
Lubbock;Texas;48303;307412;33659
McLennan;Texas;48309;254607;23954
Matagorda;Texas;48321;36552;3339
Medina;Texas;48325;50921;3722
Midland;Texas;48329;172578;18238
Montgomery;Texas;48339;590925;53223
Morris;Texas;48343;12339;493
Oldham;Texas;48359;2131;139
Potter;Texas;48375;119648;13309
Rusk;Texas;48401;54450;58
Smith;Texas;48423;230221;2442
Tarrant;Texas;48439;2084931;2339
Travis;Texas;48453;1248743;121507
Upshur;Texas;48459;41260;6994
Van Zandt;Texas;48467;56019;6453
Webb;Texas;48479;275910;8093
Wichita;Texas;48485;132064;20998
Williamson;Texas;48491;566719;4713
Box Elder;Utah;49003;54950;922
Cache;Utah;49005;127068;10503
Davis;Utah;49011;351713;114005
Iron;Utah;49021;52775;1507
Salt Lake;Utah;49035;1152633;150995
Summit;Utah;49043;41933;2164
Tooele;Utah;49045;69907;939
Utah;Utah;49049;622213;29471
Wasatch;Utah;49051;33240;2597
Washington;Utah;49053;171700;6616
Weber;Utah;49057;256359;43003
Addison;Vermont;50001;36973;482
Bennington;Vermont;50003;35631;5322
Chittenden;Vermont;50007;164572;30201
Franklin;Vermont;50011;49421;7736
Orange;Vermont;50017;28999;4212
Rutland;Vermont;50021;58672;6375
Washington;Vermont;50023;58140;8509
Windham;Vermont;50025;42756;5495
Windsor;Vermont;50027;55286;5718
Accomack;Virginia;51001;32412;7284
Albemarle;Virginia;51003;108718;14757
Amherst;Virginia;51009;31666;6727
Arlington;Virginia;51013;237521;892426
Bedford;Virginia;51019;78747;10346
Botetourt;Virginia;51023;33277;6139
Charles City;Virginia;51036;6941;3826
Chesterfield;Virginia;51041;348556;80191
Culpeper;Virginia;51047;51859;13303
Fairfax;Virginia;51059;1150795;292486
Fluvanna;Virginia;51065;26783;9189
Franklin;Virginia;51067;56195;8145
Gloucester;Virginia;51073;37349;17061
Goochland;Virginia;51075;23244;7989
Hanover;Virginia;51085;107239;22293
Henrico;Virginia;51087;329261;139344
Isle of Wight;Virginia;51093;36953;11524
James City;Virginia;51095;76397;5206
Lee;Virginia;51105;23541;5541
Loudoun;Virginia;51107;406850;74704
Louisa;Virginia;51109;36778;7129
Mecklenburg;Virginia;51117;30650;4932
Prince Edward;Virginia;51147;22950;656
Prince William;Virginia;51153;468011;135775
Rockbridge;Virginia;51163;22752;3767
Rockingham;Virginia;51165;81244;9356
Spotsylvania;Virginia;51177;134238;32731
Stafford;Virginia;51179;149960;53545
York;Virginia;51199;67846;64504
Alexandria city;Virginia;51510;160530;1041492
Charlottesville city;Virginia;51540;48117;459466
Danville city;Virginia;51590;40693;96688
Harrisonburg city;Virginia;51660;54033;306526
Newport News city;Virginia;51700;178626;262167
Norfolk city;Virginia;51710;244076;453788
Portsmouth city;Virginia;51740;94632;28322
Richmond city;Virginia;51760;228783;374193
Suffolk city;Virginia;51800;91185;22281
Virginia Beach city;Virginia;51810;450189;180765
Williamsburg city;Virginia;51830;14896;16391
Adams;Washington;53001;19759;1011
Benton;Washington;53005;201877;11419
Chelan;Washington;53007;77036;2594
Clallam;Washington;53009;76737;4285
Clark;Washington;53011;481857;73987
Columbia;Washington;53013;4059;461
Cowlitz;Washington;53015;108987;9219
Douglas;Washington;53017;42907;2274
Franklin;Washington;53021;94347;7299
Grant;Washington;53025;97331;354
Grays Harbor;Washington;53027;73901;3784
Island;Washington;53029;84460;39164
Jefferson;Washington;53031;31729;1711
King;Washington;53033;2233163;102254
Kitsap;Washington;53035;269805;66459
Kittitas;Washington;53037;47364;1951
Klickitat;Washington;53039;22107;1143
Lewis;Washington;53041;79604;3202
Lincoln;Washington;53043;10740;452
Mason;Washington;53045;65507;6528
Pierce;Washington;53053;891299;51503
San Juan;Washington;53055;17128;9472
Skagit;Washington;53057;128206;7157
Snohomish;Washington;53061;814901;37686
Spokane;Washington;53063;514631;28228
Stevens;Washington;53065;45260;1784
Thurston;Washington;53067;286419;38047
Walla Walla;Washington;53071;60922;4743
Whatcom;Washington;53073;225685;10291
Whitman;Washington;53075;49791;2251
Yakima;Washington;53077;251446;5804
Jackson;West Virginia;54035;28706;6249
Jefferson;West Virginia;54037;56811;26799
Kanawha;West Virginia;54039;180454;20598
Marshall;West Virginia;54051;30785;10361
Mercer;West Virginia;54055;59131;14436
Monongalia;West Virginia;54061;106420;29232
Putnam;West Virginia;54079;56682;16389
Tucker;West Virginia;54093;6955;1677
Bayfield;Wisconsin;55007;15042;1014
Brown;Wisconsin;55009;263378;49043
Calumet;Wisconsin;55015;50159;15651
Chippewa;Wisconsin;55017;64135;6311
Columbia;Wisconsin;55021;57358;744
Dane;Wisconsin;55025;542364;44255
Dodge;Wisconsin;55027;87847;10024
Douglas;Wisconsin;55031;43208;3328
Dunn;Wisconsin;55033;45131;5234
Eau Claire;Wisconsin;55035;104534;16143
Fond du Lac;Wisconsin;55039;103066;14219
Green;Wisconsin;55045;36929;6313
Jefferson;Wisconsin;55055;85129;15212
Kenosha;Wisconsin;55059;169290;61888
La Crosse;Wisconsin;55063;118230;26091
Marathon;Wisconsin;55073;135428;8755
Milwaukee;Wisconsin;55079;948201;395278
Outagamie;Wisconsin;55087;187365;2898
Ozaukee;Wisconsin;55089;89147;37878
Pierce;Wisconsin;55093;42555;7251
Racine;Wisconsin;55101;196584;58766
Rock;Wisconsin;55105;163129;22526
St. Croix;Wisconsin;55109;89694;12171
Sauk;Wisconsin;55111;64249;7654
Sheboygan;Wisconsin;55117;115456;22533
Walworth;Wisconsin;55127;103718;18557
Washington;Wisconsin;55131;135693;31236
Waukesha;Wisconsin;55133;403072;7258
Winnebago;Wisconsin;55139;171020;3911
Wood;Wisconsin;55141;73055;9239
Campbell;Wyoming;56005;46140;993
Carbon;Wyoming;56007;14971;196
Fremont;Wyoming;56013;39531;436
Laramie;Wyoming;56021;98976;3637
Natrona;Wyoming;56025;79115;1509
Park;Wyoming;56029;29324;419
Sheridan;Wyoming;56033;30233;1189
Teton;Wyoming;56039;23081;577
Washakie;Wyoming;56043;7885;363
